n,t
1,2.3049942683428526e-06
1,2.3749962565489113e-06
1,1.8849968910217285e-06
1,1.4670004020445049e-06
1,1.815998984966427e-06
2,4.749002982862294e-06
2,4.399997123982757e-06
2,1.8849968910217285e-06
2,2.3749962565489113e-06
2,2.444001438561827e-06
3,2.3749962565489113e-06
3,4.679000994656235e-06
3,1.9549988792277873e-06
3,4.749002982862294e-06
4,4.680005076806992e-06
4,4.7489957069046795e-06
5,4.749999789055437e-06
5,4.888999683316797e-06
6,4.679997800849378e-06
6,4.8190049710683525e-06
7,4.608999006450176e-06
7,4.818997695110738e-06
8,5.657995643559843e-06
9,1.8089005607180297e-05
10,6.704998668283224e-06
11,7.542999810539186e-06
12,7.681999704800546e-06
13,9.63800266617909e-06
14,9.987998055294156e-06
16,1.1385003745090216e-05
17,1.278100535273552e-05
19,1.4666999049950391e-05
21,1.9835002603940666e-05
23,1.9625003915280104e-05
26,2.7656999009195715e-05
28,3.6737001209985465e-05
31,3.6805999116040766e-05
34,4.84690026496537e-05
37,5.007599975215271e-05
41,5.573299858951941e-05
45,7.975899643497542e-05
50,0.00013151099847164005
55,9.589199908077717e-05
60,0.00012271099694771692
66,0.00014743499923497438
73,0.00018584699864732102
80,0.0002547110052546486
88,0.000250449993473012
97,0.0002765710014500655
107,0.0003951620019506663
117,0.00046842399751767516
129,0.0005041840049671009
142,0.0005573329981416464
156,0.000671242996759247
172,0.0009081440002773888
189,0.0009906270061037503
208,0.001137712002673652
229,0.001797640994482208
252,0.001926288998220116
277,0.002029233997745905
304,0.002585239999461919
335,0.0031517910028924234
368,0.003883795994624961
405,0.004766448997543193
446,0.005971696999040432
490,0.007589498003653716
539,0.009338388998003211
593,0.011951706001127604
653,0.01492665900150314
718,0.018045485005131923
790,0.02164516699849628
869,0.02755344899924239
956,0.03178470500279218
1051,0.03939934499794617
1156,0.04857877599715721
1272,0.0594840510020731
1399,0.07174445599957835
1539,0.08742546799476258
1693,0.11003737700229976
1862,0.12691602500126464
