n,t
1,2.373999450355768e-06
1,2.3049942683428526e-06
1,1.8860009731724858e-06
1,1.8849968910217285e-06
1,2.3749962565489113e-06
2,7.123999239411205e-06
2,6.6350039560347795e-06
2,3.3530013752169907e-06
2,4.680005076806992e-06
2,3.911001840606332e-06
3,9.497998689766973e-06
3,6.984002538956702e-06
3,6.215996108949184e-06
3,1.0056995961349458e-05
4,9.429000783711672e-06
4,9.498005965724587e-06
5,1.2780998076777905e-05
5,1.208300091093406e-05
6,1.5853998775128275e-05
6,1.578400406287983e-05
7,4.183500277576968e-05
7,1.7669997760094702e-05
8,3.722599649336189e-05
9,2.472399501129985e-05
10,2.8005997592117637e-05
11,3.052000101888552e-05
12,3.3873002394102514e-05
13,3.624699456850067e-05
14,3.750500036403537e-05
16,4.665400047088042e-05
17,5.063500429969281e-05
19,5.803800013381988e-05
21,6.439400021918118e-05
23,8.325099770445377e-05
26,8.541499846614897e-05
28,9.177099855151027e-05
31,0.00010196799848927185
34,0.0001169139941339381
37,0.00013262900029076263
41,0.00016119399515446275
45,0.00015958699805196375
50,0.00018291400192538276
55,0.00020114300423301756
60,0.0002375999974901788
66,0.00025184699916280806
73,0.000277548999292776
80,0.00032811400160426274
88,0.0003579359981813468
97,0.00041674300155136734
107,0.0004088499990757555
117,0.00045382900134427473
129,0.0005196190031711012
142,0.0006155110022518784
156,0.0005958850015304051
172,0.0006753650013706647
189,0.0007477899998775683
208,0.0008310410048579797
229,0.000942576996749267
252,0.001065008000296075
277,0.0012029450008412823
304,0.001319649993092753
335,0.0014471800022874959
368,0.0016022969939513132
405,0.0017750839979271404
446,0.0020488619993557222
490,0.0022916300003998913
539,0.0026265880005666986
593,0.002863558998797089
653,0.0031294450018322095
718,0.0035342449991730973
790,0.003895603003911674
869,0.004870167002081871
956,0.005223703003139235
1051,0.0054805789986858144
1156,0.006129822999355383
1272,0.0072974979993887246
1399,0.00824719900265336
1539,0.008646970003610477
1693,0.009864931002084631
1862,0.010464167993632145
1,4.260000423528254e-06
1,3.282999387010932e-06
1,1.9549988792277873e-06
1,3.282002580817789e-06
1,2.373999450355768e-06
2,6.704998668283224e-06
2,4.7489957069046795e-06
2,6.6350039560347795e-06
2,4.818997695110738e-06
2,4.330002411734313e-06
3,8.59099964145571e-06
3,6.565001967828721e-06
3,7.263995939865708e-06
3,7.2640032158233225e-06
4,9.429000783711672e-06
4,8.940005500335246e-06
5,1.1594005627557635e-05
5,1.773999974830076e-05
6,1.4318000467028469e-05
6,1.333999534836039e-05
7,1.5644000086467713e-05
7,1.5573998098261654e-05
8,1.738999708322808e-05
9,2.5212997570633888e-05
10,2.2908003302291036e-05
11,2.6749999960884452e-05
12,2.856499486370012e-05
13,3.233699681004509e-05
14,3.240600199205801e-05
16,3.904199547832832e-05
17,4.120700032217428e-05
19,6.222799856914207e-05
21,5.964400043012574e-05
23,5.922499985899776e-05
26,7.982899842318147e-05
28,8.003800030564889e-05
31,8.597400301368907e-05
34,0.00010203800047747791
37,0.00010755499533843249
41,0.00013577199570136145
45,0.00013598000077763572
50,0.00015791100304340944
55,0.00017341599595965818
60,0.00022398099827114493
66,0.0002149010033463128
73,0.0002433970003039576
80,0.0002852320030797273
