n,t
1,2.9000002541579306e-06
1,8.999995770864189e-07
1,8.999995770864189e-07
1,8.00002453615889e-07
1,6.999980541877449e-07
2,9.20000093174167e-06
2,4.900000931229442e-06
2,4.5000015234109014e-06
2,4.300000000512227e-06
2,4.300000000512227e-06
3,1.1100000847363845e-05
3,8.499999239575118e-06
3,8.200000593205914e-06
3,7.700000423938036e-06
4,1.4900000678608194e-05
4,1.5199999324977398e-05
5,2.3600001441081986e-05
5,2.0699997548945248e-05
6,2.4500001018168405e-05
6,1.7499998648418114e-05
7,3.3799999073380604e-05
7,2.5400000595254824e-05
8,3.229999856557697e-05
9,3.650000144261867e-05
10,4.270000135875307e-05
11,4.41999982285779e-05
12,4.690000059781596e-05
13,5.65999980608467e-05
14,4.949999856762588e-05
16,5.439999949885532e-05
17,6.199999916134402e-05
19,6.639999992330559e-05
21,7.800000093993731e-05
23,9.339999814983457e-05
26,0.0001894999986689072
28,0.00011969999832217582
31,0.00014590000137104653
34,0.00015699999858043157
37,0.00016619999951217324
41,0.000170899998920504
45,0.0001975999985006638
50,0.00027129999944008887
55,0.0002806000011332799
60,0.00033520000215503387
66,0.000393000002077315
73,0.0003757999984372873
80,0.0004081999977643136
88,0.0006670000002486631
97,0.0008288999997603241
107,0.0009137999986705836
117,0.0007172000005084556
129,0.0007602000005135778
142,0.0008286999982374255
156,0.000924300002225209
172,0.0010184999991906807
189,0.0011927999985346105
208,0.002785500000754837
229,0.0011040999997931067
252,0.0014445999986492097
277,0.002942600000096718
304,0.0026021999983640853
335,0.002856800001609372
368,0.003258699998696102
405,0.0034071999980369583
446,0.0040169999992940575
490,0.0031815000002097804
539,0.0034306000015931204
593,0.005602799999905983
653,0.005202100001042709
718,0.006098100002418505
790,0.007141599999158643
869,0.007260599999426631
956,0.006861300000309711
1051,0.008508200000505894
1156,0.010232700002234196
1272,0.011944300000322983
1399,0.009688500002084766
1539,0.01238759999978356
1693,0.012904899998829933
1862,0.011608100001467392
1,2.7000023692380637e-06
1,6.000009307172149e-07
1,6.000009307172149e-07
1,5.999972927384079e-07
1,6.999980541877449e-07
2,9.2999980552122e-06
2,3.7999998312443495e-06
2,3.7999998312443495e-06
2,3.4000004234258085e-06
2,3.4000004234258085e-06
3,5.800000508315861e-06
3,5.199999577598646e-06
3,5.199999577598646e-06
3,6.099999154685065e-06
4,9.60000033956021e-06
4,8.700000762473792e-06
5,2.6300000172341242e-05
5,1.179999890155159e-05
6,1.5699999494245276e-05
6,1.2699998478638008e-05
7,1.8700000509852543e-05
7,1.979999797185883e-05
8,3.239999932702631e-05
9,3.900000228895806e-05
10,6.170000051497482e-05
11,6.10999995842576e-05
12,6.159999975352548e-05
13,6.850000136182643e-05
14,7.550000009359792e-05
16,9.229999704984948e-05
17,9.779999891179614e-05
19,0.00010689999908208847
21,0.00011190000077476725
23,0.00012829999832320027
26,0.000167199999850709
28,0.00014990000272518955
31,0.00018970000019180588
34,0.00021349999951780774
37,0.0002521999995224178
41,0.0002706000013859011
45,0.00031099999978323467
50,0.0003330999970785342
55,0.0003600000018195715
60,0.0004845000003115274
66,0.0003255000010540243
73,0.00037040000097476877
80,0.0003696999992826022
88,0.00047709999853395857
97,0.000526999996509403
107,0.00048130000141100027
117,0.0006156999988888856
129,0.0008646999995107763
142,0.0008438999975624029
156,0.0012578999994730111
172,0.001611899999261368
189,0.001772699997673044
208,0.0019207000004826114
229,0.0014988000002631452
252,0.0015920999976515304
277,0.0018791000002238434
304,0.0019219999994675163
335,0.002111599998897873
368,0.00234930000078748
405,0.003196999998181127
446,0.003031099997315323
490,0.0035844999983964954
539,0.0034704000026977155
593,0.006228000002010958
653,0.007217099999252241
718,0.006787199999962468
790,0.008690399998158682
869,0.005383499999879859
956,0.006523799998831237
1051,0.006158299998787697
1156,0.0067049999997834675
1272,0.010248099999444094
1399,0.01154329999917536
1539,0.012227300001541153
1693,0.017017800000758143
1862,0.011277800000243587
