n,t
1,2.2940002963878214e-06
1,1.1920001270482317e-06
1,1.1419997463235632e-06
1,1.0120002116309479e-06
1,9.609993867343292e-07
2,2.0140005290159024e-06
2,1.5530004020547494e-06
2,1.5730001905467361e-06
2,1.4829993233433925e-06
2,2.4150003810063936e-06
3,2.515000232961029e-06
3,2.574999598436989e-06
3,2.3150005290517583e-06
3,2.2340000214171596e-06
4,3.266000021540094e-06
4,2.054000105999876e-06
5,4.008000360045116e-06
5,3.6669998735305853e-06
6,4.257999535184354e-06
6,4.638999598682858e-06
7,5.259999852569308e-06
7,5.219999366090633e-06
8,6.672999916190747e-06
9,6.6829998104367405e-06
10,7.964999895193614e-06
11,3.5105999813822564e-05
12,2.790200051094871e-05
13,3.399399975023698e-05
14,3.800099966611015e-05
16,4.2668999412853736e-05
17,4.633699973055627e-05
19,5.344100009097019e-05
21,5.882999994355487e-05
23,6.670499988103984e-05
26,7.563199960713973e-05
28,8.466899998893496e-05
31,9.818400030781049e-05
34,0.00010904499958996894
37,0.00011675899986585137
41,0.0001314569999522064
45,0.00014940999972168356
50,0.00017043900061253225
55,0.00019130799955746625
60,0.0002138010004273383
66,0.00022770700070395833
73,0.0002577420000307029
80,0.0002894019999075681
88,0.000320090000059281
97,0.0003735189993676613
107,0.00040946700028143823
117,0.00043540599926927825
129,0.0004909899998892797
142,0.0005383790003179456
156,0.0006224959997780388
172,0.0006921160002093529
189,0.000756526999794005
208,0.0008421880002060789
229,0.0009435279998797341
252,0.0010556180004641647
277,0.0011747510006898665
304,0.0014351689997056383
335,0.0014287269996202667
368,0.0016200949994527036
405,0.0018037689997072448
446,0.0019830150004054303
490,0.002227864000815316
539,0.0025088909997066366
593,0.0029975560000821133
653,0.003172032999827934
718,0.0034256789995197323
790,0.003814156000771618
869,0.004267445999175834
956,0.004808638999747927
1051,0.005358098999749927
1156,0.006411393000234966
1272,0.007933994999802962
1399,0.008050453000578273
1539,0.008345465000274999
1693,0.010564252999756718
1862,0.010724423000283423
1,6.782999662391376e-06
1,1.782999788702e-06
1,1.4730003385921009e-06
1,1.383000380883459e-06
1,1.3930002751294523e-06
2,3.907000063918531e-06
2,2.554999809945002e-06
2,2.2640006136498414e-06
2,2.275000042573083e-06
2,1.8439995983499102e-06
3,2.0039997252752073e-06
3,2.5950002964236774e-06
3,2.9559996619354934e-06
3,3.015999936906155e-06
4,3.8179996408871375e-06
4,3.6459996408666484e-06
5,4.18699983129045e-06
5,4.0380000427830964e-06
6,4.919000275549479e-06
6,4.708999767899513e-06
7,6.312000550678931e-06
7,5.569999302679207e-06
8,6.6020002122968435e-06
9,9.297000360675156e-06
10,7.433999599015806e-06
11,3.678900066006463e-05
12,3.203000051144045e-05
13,3.502600065985462e-05
14,3.818099958152743e-05
16,4.417299987835577e-05
17,4.6967999878688715e-05
19,4.7047999942151364e-05
21,5.533399962587282e-05
23,6.296700030361535e-05
26,7.143299990275409e-05
28,8.394699943892192e-05
31,9.543799933453556e-05
34,0.0001063999998223153
37,0.00011260100018262165
41,0.00012475399944378296
45,0.00015342700044129742
50,0.00017009800012601772
55,0.00019151899959979346
60,0.00020322000000305707
66,0.00021524300063902047
73,0.0002514810003049206
80,0.00027262099956715247
88,0.0003087579998464207
97,0.0003575589998945361
107,0.0003841799998554052
117,0.00043243999971309677
129,0.000495479000164778
142,0.0005371470006139134
156,0.000597398999161669
172,0.0006747150000592228
189,0.0007701329996052664
208,0.0008603020005466533
229,0.0009278890001951368
252,0.0010690420003811596
277,0.0011786579998442903
304,0.001327837999269832
335,0.0014398479997907998
368,0.0016044160001911223
405,0.0017992009998124558
446,0.0020109580000280403
490,0.002284690000124101
539,0.002526213000237476
593,0.002830643000379496
653,0.0031493309998040786
718,0.0035258670004623127
790,0.0038614750001215725
869,0.004303492999497394
956,0.0048629810007696506
1051,0.0053436219996001455
1156,0.006096912999964843
1272,0.006724228999701154
1399,0.007546349000222108
1539,0.008477663999656215
1693,0.009591519999958109
1862,0.010444198000186589
