n,t
1,1.8150003597838804e-06
1,1.4670004020445049e-06
1,1.8860009731724858e-06
1,3.282999387010932e-06
1,3.351999112055637e-06
2,4.6789991756668314e-06
2,3.4229997254442424e-06
2,4.3310010369168594e-06
2,4.818999514100142e-06
2,3.352999556227587e-06
3,6.214999302756041e-06
3,1.1383999662939459e-05
3,3.3520009310450405e-06
3,4.748999344883487e-06
4,7.542999810539186e-06
4,8.032000550883822e-06
5,8.380999133805744e-06
5,8.101000275928527e-06
6,1.0965999535983428e-05
6,9.707999197416939e-06
7,1.2919999790028669e-05
7,1.2362001143628731e-05
8,1.3758999557467178e-05
9,1.6553000023122877e-05
10,1.8368999008089304e-05
11,2.2838001314084977e-05
12,3.485100023681298e-05
13,2.8565000320668332e-05
14,3.6247998650651425e-05
16,3.219700010959059e-05
17,3.6107998312218115e-05
19,4.337100108386949e-05
21,6.928200127731543e-05
23,5.245099964668043e-05
26,6.0132999351480976e-05
28,6.620900057896506e-05
31,7.116800043149851e-05
34,8.35999999253545e-05
37,9.093299922824372e-05
41,0.0001033649987220997
45,0.00012396900092426222
50,0.00012808899919036776
55,0.00013975299953017384
60,0.00015260299915098585
66,0.000170762001289404
73,0.00020631099869206082
80,0.00021294500038493425
88,0.00023676199998590164
97,0.0002694470003916649
107,0.00025645599998824764
117,0.00028152999948360957
129,0.0003181270003551617
142,0.00035856499926012475
156,0.00041115500062005594
172,0.0004657699992094422
189,0.0005029959993407829
208,0.000565293999898131
229,0.0006224940007086843
252,0.0006947799993213266
277,0.0007747480012767483
304,0.0009946079990186263
335,0.0009897889995045261
368,0.0011751479996746639
405,0.0012305310010560788
446,0.0013455600001179846
490,0.0014716929999849526
539,0.001651115000640857
593,0.0018614060008985689
653,0.0020753299995703856
718,0.0025467579998803558
790,0.003287353998530307
869,0.0029582619990833336
956,0.0035082610011158977
1051,0.003711848001330509
1156,0.004326031999880797
1272,0.004570754999804194
1399,0.00573291200089443
1539,0.006004804001349839
1693,0.0065178570002899505
1862,0.007153202001063619
1,4.818999514100142e-06
1,1.955000698217191e-06
1,1.4659999578725547e-06
1,1.8850005290005356e-06
1,1.9559993233997375e-06
2,4.400000761961564e-06
2,5.098001565784216e-06
2,3.351999112055637e-06
2,1.4659999578725547e-06
2,4.748999344883487e-06
3,7.05399907019455e-06
3,3.2830012060003355e-06
3,3.840999852400273e-06
3,4.748999344883487e-06
4,6.775000656489283e-06
4,6.145999577711336e-06
5,8.170998626155779e-06
5,7.612999979755841e-06
6,1.0337000276194885e-05
6,9.498000508756377e-06
7,1.7948999811778776e-05
7,2.626100103952922e-05
8,3.29650010826299e-05
9,1.4457000361289829e-05
10,1.8228000044473447e-05
11,1.927700031956192e-05
12,4.5188000513007864e-05
13,4.001899833383504e-05
14,2.6190000426140614e-05
16,6.39039990346646e-05
17,3.443099922151305e-05
19,4.965699918102473e-05
21,4.483800148591399e-05
23,8.499700015818235e-05
26,5.720000081055332e-05
28,5.880599928786978e-05
31,7.403200106637087e-05
34,8.869900011632126e-05
37,0.0001720889995340258
41,0.00010888199904002249
45,0.00010448199827806093
50,0.0001533009999548085
55,0.0002249589997518342
60,0.0002312439992238069
66,0.00024674900123500265
73,0.0002278219999425346
80,0.00030911700014257804
88,0.0003634529984992696
97,0.0003877579983964097
107,0.0004502659994614078
117,0.0004698910015576985
129,0.000518221000675112
142,0.0005510469982255017
156,0.0006060819996491773
172,0.0006637710012000753
189,0.000755123000999447
208,0.0008137889999488834
229,0.0008996239994303323
252,0.0010684300013963366
277,0.0012404489989421563
304,0.0010364429999754066
335,0.0011497249997773906
368,0.0012114649998693494
405,0.0013255849989946
446,0.0014299979993666057
490,0.0015881880008237204
539,0.0017168350004794775
593,0.0018556100003479514
653,0.0021249179990263656
718,0.0023160729997471208
790,0.004002039000624791
869,0.004314158999477513
956,0.004377924000436906
1051,0.003590255999370129
1156,0.0041278230000898475
1272,0.0045663549990422325
1399,0.0058457060004002415
1539,0.008101157000055537
1693,0.006373215999701642
1862,0.007166052999309613
1,2.4439996195724234e-06
1,1.3970002328278497e-06
1,1.884998710011132e-06
1,1.3969984138384461e-06
1,1.8860009731724858e-06
2,6.145999577711336e-06
2,4.260999048710801e-06
2,4.679000994656235e-06
2,3.4220011002616957e-06
2,3.2830012060003355e-06
3,4.330000592744909e-06
3,4.748999344883487e-06
3,4.74900116387289e-06
3,2.8630001907004043e-06
4,5.727000825572759e-06
4,4.818999514100142e-06
5,7.19399940862786e-06
5,7.472999641322531e-06
6,1.7529999240650795e-05
6,8.730001354706474e-06
7,9.98699943011161e-06
7,2.5772000299184583e-05
8,4.148600055486895e-05
9,1.745999907143414e-05
10,3.4781000067596324e-05
11,1.9975001123384573e-05
12,2.151099943148438e-05
13,2.3395999960484914e-05
14,2.4303999452968128e-05
16,9.994200081564486e-05
17,3.1988000046112575e-05
19,4.413999886310194e-05
21,4.246299977239687e-05
23,6.579100045200903e-05
26,5.496499943546951e-05
28,0.00015735200031485874
31,6.767600098100957e-05
34,0.00014603799900214653
37,8.30409990157932e-05
41,0.00010776499948406126
45,0.00017802500042307656
50,0.00019653300114441663
55,0.0001988379990507383
60,0.0002206980007031234
66,0.00026141600028495304
73,0.0002647679993970087
80,0.00030136500026856083
88,0.00031672900149715133
97,0.00034613299976626877
107,0.0003729519994521979
117,0.0004314090001571458
129,0.00045501500062528066
142,0.0005284880007820902
156,0.0005949070000497159
172,0.0006589509994228138
189,0.0007144060000427999
208,0.0008427739994658623
229,0.0009666019996075192
252,0.0008892169989849208
